Fecha / hora,Cliente,Nº  venta,Importe,Forma de pago,Revisada,Crédito,Estatus venta,V. no facturable
01/09/2023 09:07 AM,PUBLICO EN GENERAL,355257,200.00,Efectivo,0,0,Venta generada,
01/09/2023 09:07 AM,PUBLICO EN GENERAL,355255,300.00,Efectivo,0,0,Venta generada,
01/09/2023 09:12 AM,PUBLICO EN GENERAL,355253,110.50,Efectivo,0,0,Venta generada,
01/09/2023 09:14 AM,PUBLICO EN GENERAL,355254,200.00,Efectivo,0,0,Venta generada,
01/09/2023 09:15 AM,PUBLICO EN GENERAL,355256,200.00,Efectivo,0,0,Venta generada,
01/09/2023 09:18 AM,PUBLICO EN GENERAL,355258,500.00,Efectivo,0,0,Venta generada,
01/09/2023 09:18 AM,PUBLICO EN GENERAL,355260,120.00,Efectivo,0,0,Venta generada,
01/09/2023 09:20 AM,PUBLICO EN GENERAL,355259,250.00,Efectivo,0,0,Venta generada,
01/09/2023 09:22 AM,PUBLICO EN GENERAL,355261,100.00,Efectivo,0,0,Venta generada,
01/09/2023 09:24 AM,PUBLICO EN GENERAL,355262,100.00,Efectivo,0,0,Venta generada,
01/09/2023 09:24 AM,PUBLICO EN GENERAL,355266,442.00,Efectivo,0,0,Venta generada,
01/09/2023 09:26 AM,PUBLICO EN GENERAL,355264,100.00,Efectivo,0,0,Venta generada,
01/09/2023 09:29 AM,PUBLICO EN GENERAL,355263,150.00,Efectivo,0,0,Venta generada,
01/09/2023 09:31 AM,PUBLICO EN GENERAL,355267,200.00,Efectivo,0,0,Venta generada,
01/09/2023 09:35 AM,PUBLICO EN GENERAL,355265,100.00,Efectivo,0,0,Venta generada,
01/09/2023 09:36 AM,PUBLICO EN GENERAL,355270,699.95,Efectivo,0,0,Venta generada,
01/09/2023 09:38 AM,PUBLICO EN GENERAL,355272,442.00,Efectivo,0,0,Venta generada,
01/09/2023 09:38 AM,PUBLICO EN GENERAL,355269,120.00,Efectivo,0,0,Venta generada,
01/09/2023 09:39 AM,PUBLICO EN GENERAL,355268,100.00,Efectivo,0,0,Venta generada,
01/09/2023 09:44 AM,PUBLICO EN GENERAL,355274,200.00,Efectivo,0,0,Venta generada,
01/09/2023 09:44 AM,PUBLICO EN GENERAL,355273,340.00,Efectivo,0,0,Venta generada,
01/09/2023 09:47 AM,PUBLICO EN GENERAL,355271,300.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 09:54 AM,PUBLICO EN GENERAL,355278,200.00,Efectivo,0,0,Venta generada,
01/09/2023 09:56 AM,PUBLICO EN GENERAL,355275,200.00,Efectivo,0,0,Venta generada,
01/09/2023 10:00 AM,PUBLICO EN GENERAL,355276,300.00,Efectivo,0,0,Venta generada,
01/09/2023 10:02 AM,PUBLICO EN GENERAL,355280,200.00,Efectivo,0,0,Venta generada,
01/09/2023 10:03 AM,PUBLICO EN GENERAL,355286,221.00,Tarjeta de Debito,0,0,Venta generada,
01/09/2023 10:03 AM,PUBLICO EN GENERAL,355277,200.00,Efectivo,0,0,Venta generada,
01/09/2023 10:07 AM,PUBLICO EN GENERAL,355281,100.00,Efectivo,0,0,Venta generada,
01/09/2023 10:13 AM,PUBLICO EN GENERAL,355279,200.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 10:13 AM,PUBLICO EN GENERAL,355303,200.00,Efectivo,0,0,Venta generada,
01/09/2023 10:15 AM,PUBLICO EN GENERAL,355282,300.00,Efectivo,0,0,Venta generada,
01/09/2023 10:17 AM,PUBLICO EN GENERAL,355283,500.00,Efectivo,0,0,Venta generada,
01/09/2023 10:19 AM,PUBLICO EN GENERAL,355284,50.00,Efectivo,0,0,Venta generada,
01/09/2023 10:22 AM,PUBLICO EN GENERAL,355294,663.00,Efectivo,0,0,Venta generada,
01/09/2023 10:25 AM,PUBLICO EN GENERAL,355285,200.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 10:26 AM,PUBLICO EN GENERAL,355292,200.00,Efectivo,0,0,Venta generada,
01/09/2023 10:28 AM,PUBLICO EN GENERAL,355287,150.00,Efectivo,0,0,Venta generada,
01/09/2023 10:29 AM,PUBLICO EN GENERAL,355288,100.00,Efectivo,0,0,Venta generada,
01/09/2023 10:32 AM,PUBLICO EN GENERAL,355289,100.00,Efectivo,0,0,Venta generada,
01/09/2023 10:38 AM,PUBLICO EN GENERAL,355290,400.00,Efectivo,0,0,Venta generada,
01/09/2023 10:45 AM,PUBLICO EN GENERAL,355291,190.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 10:47 AM,PUBLICO EN GENERAL,355296,100.00,Efectivo,0,0,Venta generada,
01/09/2023 10:48 AM,PUBLICO EN GENERAL,355293,221.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 10:51 AM,PUBLICO EN GENERAL,355295,300.00,Efectivo,0,0,Venta generada,
01/09/2023 10:51 AM,PUBLICO EN GENERAL,355297,200.00,Efectivo,0,0,Venta generada,
01/09/2023 10:59 AM,PUBLICO EN GENERAL,355304,265.20,Tarjeta de Debito,0,0,Venta generada,
01/09/2023 11:16 AM,PUBLICO EN GENERAL,355298,300.00,Efectivo,0,0,Venta generada,
01/09/2023 11:16 AM,PUBLICO EN GENERAL,355299,300.00,Efectivo,0,0,Venta generada,
01/09/2023 11:18 AM,PUBLICO EN GENERAL,355300,40.00,Efectivo,0,0,Venta generada,
01/09/2023 11:20 AM,PUBLICO EN GENERAL,355302,200.00,Efectivo,0,0,Venta generada,
01/09/2023 11:21 AM,PUBLICO EN GENERAL,355301,356.47,Efectivo,0,0,Vta. enviada a web,
01/09/2023 11:23 AM,PUBLICO EN GENERAL,355311,300.00,Efectivo,0,0,Venta generada,
01/09/2023 11:25 AM,PUBLICO EN GENERAL,355306,200.00,Efectivo,0,0,Venta generada,
01/09/2023 11:32 AM,PUBLICO EN GENERAL,355305,200.00,Efectivo,0,0,Venta generada,
01/09/2023 11:34 AM,PUBLICO EN GENERAL,355308,200.00,Efectivo,0,0,Venta generada,
01/09/2023 11:35 AM,PUBLICO EN GENERAL,355307,120.16,Efectivo,0,0,Venta generada,
01/09/2023 11:40 AM,PUBLICO EN GENERAL,355309,200.00,Efectivo,0,0,Venta generada,
01/09/2023 11:42 AM,PUBLICO EN GENERAL,355310,200.00,Efectivo,0,0,Venta generada,
01/09/2023 11:43 AM,PUBLICO EN GENERAL,355312,100.00,Efectivo,0,0,Venta generada,
01/09/2023 11:43 AM,PUBLICO EN GENERAL,355319,200.00,Efectivo,0,0,Venta generada,
01/09/2023 11:43 AM,PUBLICO EN GENERAL,355317,233.55,Efectivo,0,0,Venta generada,
01/09/2023 11:44 AM,PUBLICO EN GENERAL,355313,70.00,Efectivo,0,0,Venta generada,
01/09/2023 11:45 AM,PUBLICO EN GENERAL,355314,150.00,Efectivo,0,0,Venta generada,
01/09/2023 11:51 AM,PUBLICO EN GENERAL,355326,110.50,Tarjeta de Debito,0,0,Venta generada,
01/09/2023 11:53 AM,PUBLICO EN GENERAL,355315,110.50,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 11:54 AM,PUBLICO EN GENERAL,355318,500.00,Efectivo,0,0,Venta generada,
01/09/2023 12:04 PM,PUBLICO EN GENERAL,355316,25.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 12:05 PM,PUBLICO EN GENERAL,355322,50.00,Efectivo,0,0,Venta generada,
01/09/2023 12:07 PM,PUBLICO EN GENERAL,355321,100.00,Efectivo,0,0,Venta generada,
01/09/2023 12:14 PM,PUBLICO EN GENERAL,355320,221.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 12:22 PM,PUBLICO EN GENERAL,355323,100.00,Efectivo,0,0,Venta generada,
01/09/2023 12:26 PM,PUBLICO EN GENERAL,355330,100.00,Efectivo,0,0,Venta generada,
01/09/2023 12:30 PM,PUBLICO EN GENERAL,355324,150.00,Efectivo,0,0,Venta generada,
01/09/2023 12:33 PM,PUBLICO EN GENERAL,355325,200.00,Efectivo,0,0,Venta generada,
01/09/2023 12:36 PM,PUBLICO EN GENERAL,355328,200.00,Efectivo,0,0,Venta generada,
01/09/2023 12:37 PM,PUBLICO EN GENERAL,355327,200.00,Efectivo,0,0,Venta generada,
01/09/2023 12:41 PM,PUBLICO EN GENERAL,355334,300.00,Efectivo,0,0,Venta generada,
01/09/2023 12:42 PM,PUBLICO EN GENERAL,355329,500.00,Efectivo,0,0,Venta generada,
